62869850,2330
1,30245064,アゲイン,15917,横山克,100
2,22707008,潮鳴り,15102,折戸伸治,39
3,29750590,腐り姫の伝説,29789395,椎名治美,31
4,29750603,夢のきざはし,29789395,椎名治美,27
5,4934355,黒翼は~と,29810441,内藤侑史,12
6,3932159,You,86884,Approaching Nirvana,10
7,717484,静寂の森(U.N.オーエンは彼女なのか? [东方红魔郷]),159840,Dropの小屋。,7
8,29750588,翠の森,29789395,椎名治美,6
9,28844192,유가촌,217111,LinG,5
10,139774,The truth that you leave,4726,Pianoboy高至豪,5
11,4424930,Memories,105084,Within Temptation,5
12,227012,雪,7591,杜婧荧/王艺翔,4
13,5308028,My Soul,123825,July,4
14,29750594,樹里のテェマ,29789395,椎名治美,4
15,26116048,사랑해요,12278705,김형섭,3
16,3950552,I Want It That Way,88148,Backstreet Boys,3
17,28556031,紅い瞳に映るセカイ,11975048,忍,3
18,22782025,美しきもの,21306,Sound Horizon,3
19,29750604,リフレェン,29789395,椎名治美,3
20,22635188,歌に形はないけれど,14002,doriko/初音ミク,3
21,1783906,A New Day,40266,Mark Petrie,3
22,34986029,朧,159692,初音ミク/dezzy,2
23,33916732,别，爱,905476,夏婉安/阳逸晨,2
24,28151024,夏影,14782,麻枝准,2
25,33682510,우리 헤어진 이유,127815,Tara,2
26,22636640,神々が恋した幻想郷,15345,上海アリス幻樂団,2
27,5381329,Chu~♡,127043,f(x),2
28,26116051,그 속에서 (Inst.),29684262,신동우,2
29,4112022,Devotion,94043,Hurts,2
30,460458,glow,14624,keeno/初音ミク,2
31,31721353,帝都,1040065,萌萌哒天团,2
32,26472986,The Quick and the Dead (Original Mix),776390,Rudebrat,2
33,26484764,Trap,776875,刘宪华 (Henry)/曺圭贤/泰民,2
34,29771432,Firestone,844410,Kygo/Conrad Sewell,1
35,39443443,斑马, 斑马,160947,IU,1
36,29460377,Empire of Angels,45336,Thomas Bergersen,1
37,409912,歌に形はないけれど,14002,doriko/初音ミク,1
38,16483438,On My Own,87231,Ashes Remain,1
39,624670,夕顔,17306,能登麻美子,1
40,3949609,The Golden Harp,92061,Ethno Music Project,1
41,29567100,眉间雪,7898,HITA,1
42,22640602,ルカルカ★ナイトフィーバー,15494,samfree/巡音ルカ,1
43,28466084,瑠璃の鳥,17647,霜月はるか,1
44,26534763,ねぐせ(TVサイズ),735037,洲崎綾,1
45,20744788,With An Orchid,46198,Yanni,1
46,31877601,爱情啊(Live),124845,The One,1
47,2061452,The Right Path,45319,Thomas Greenberg,1
48,29950464,Signs,93062,Feint,1
49,29713638,心做し,16523,花たん,1
50,29769118,Headrush (Instrumental Mix),202422,Denzal Park,1
51,28949242,Rags To Rings,1047337,英雄联盟/Mark Petrie/Danny McCarthy,1
52,22677570,ワールドイズマイン,159692,初音ミク/ryo,0
53,2061739,Immortal,45336,Thomas Bergersen,0
54,22821014,からくりピエロ,159692,初音ミク/40mP,0
55,26124540,Sweet Devil,159692,初音ミク/八王子P,0
56,28240590,Won(*3*)Chu Kiss Me!,17905,戸松遥/井口裕香/五十嵐裕美/相坂優歌/渕上舞/戸田めぐみ,0
57,5403002,TTL (Time To Love),127815,Tara/超新星,0
58,22730069,朧月,159692,初音ミク/minato,0
59,4979587,星空,19349,Elements Garden,0
60,29750597,愛慾に光る,152730,Taz,0
61,31654343,不将就,4292,李荣浩,0
62,27901058,Drum And Bass,104700,Various Artists,0
63,640545,愛し子よ,17597,ルルティア,0
64,29732992,光るなら,19618,Goose house,0
65,18861490,Promise,15871,山岡晃,0
66,30245056,友人A君を私の伴奏者に任命します,15917,横山克,0
67,30352891,牵丝戏,188565,银临/Aki阿杰,0
68,29343991,Sugar Free,127815,Tara,0
69,19542337,Hall of Fame,102028,The Script/will.i.am,0
70,4941293,初恋(エンディング Ver.9.0),17955,高垣彩陽/早見沙織,0
71,28819453,白骨哀,188575,凌之轩,0
72,27808770,넘버나인 (No.9),127815,Tara,0
73,825298,ODDS&ENDS,905885,ryo/初音ミク,0
74,28152549,愛言葉,14001,DECO*27/初音ミク,0
75,35090707,あの頃~ジンジンバオヂュオニー~,1051003,whiteeeen,0
76,30064175,Horizon,1032229,Janji,0
77,22704441,Roly Poly,127815,Tara,0
78,29947420,Fade,1045123,Alan Walker,0
79,22704424,우리 사랑했잖아,127815,Tara/DAViCHi,0
80,28629028,ふたりのきもちのほんとのひみつ,945004,愛殺寶貝,0
81,869450,色は匂へど 散りぬるを -Full Version-,17227,森永真由美,0
82,22645196,Bad Apple!!,17423,のみこ/Masayoshi Minoshima,0
83,29553031,Sky (Radio Edit),783190,Steerner/Martell,0
84,29737987,Life,783190,Steerner/Gson & Abley,0
85,30064291,Green Sky,1046359,Alex Skrindo,0
86,5134011,Pretty Boy,66344,M2M,0
87,27646112,织女 心丝(笛箫版),8672,刘子菲,0
88,4974231,彼岸帰航 ~ Riverside View,19531,ファクトリー・ノイズ&AG,0
89,28243624,ありふれたせかいせいふく,15229,ピノキオピー/初音ミク,0
90,27646199,斑马，斑马,5073,宋冬野,0
91,25657146,剪爱,10559,张惠妹,0
92,27836179,终于等到你,10561,张靓颖,0
93,109196,想太多,3689,李玖哲,0
94,30039694,被害妄想手机女子,1049179,Hanser,0
95,460528,白金ディスコ,16625,井口裕香,0
96,25657167,我可以抱你吗,10559,张惠妹,0
97,29463404,Let Me Feel (Original Mix),747030,Vicetone/Nicky Romero/When We Are Wild,0
98,812557,そんなゆめをみたの ~lonely dreaming girl~,21200,魂音泉,0
99,29750592,氷雨,29789395,椎名治美,0
100,22722555,Endless Tears,18896,CLIFF EDGE,0
