5178005976,1498517847,1KECC,71,0,昨天09:25
5171678218,300129846,Alanfor,请把音响和我捆在导弹上面！我要用最刺激的方式来听这首歌,1,12月1日 16:19
5166150764,546042654,还是想她吗,千万别火,0,11月25日 03:21
5163607037,300864258,今天也要可爱噢,69,0,11月22日 07:32
5160538023,295432421,伯阳是个温柔的人,68,0,11月18日 23:47
3607189950,1334553496,花与某人,日推路过，路过而已,0,11月17日 22:51
3586725132,20255727,ilyb未至青结Meggie,殊途同歸？你死了我都不會死的,0,10月23日 13:22
3478168031,99359777,噘血,⭕️,0,10月14日 06:37
3470254049,435089847,单字西名洲,64,0,10月5日 11:19
3449807569,422316787,内蒙古自治区代表,来了,0,9月11日 11:12
3427683610,442811364,内蒙古自治区知名帅哥,来晚了对不起,0,8月20日 23:42
3427671701,442811364,内蒙古自治区知名帅哥,19年就听了现在才找到，我不行了呀[多多捂脸],1,8月20日 23:41
3389473714,451820141,貂羽N7,我没懂？车？凯提拉克？,0,7月24日 08:46
3389470131,540905925,Valar_MorghuIis,我不,0,7月24日 06:22
3387095106,256982422,安辰杰0419,不适合你换个金杯吧,1,7月22日 12:42
3313779851,1896215049,Jasper2000,这首歌让我觉得不拿辆跑车配这首歌就是种浪费,3,5月18日 00:01
3307978378,1769234202,月亮草莓味_frr,满足你[多多耍酷],0,5月13日 17:37
3272965451,361091775,等一句情話,GRABOTE,3,4月19日 23:55
3203487495,1590979695,尤由神仙,来人了，赞我一下我怕找不到了,8,3月14日 00:14
3199390174,1616768760,小陈是个解说,可,0,3月11日 20:06
